# sun41_v12: targeted search for A247975 unresolved cases
# Phase-6 bound : n <= 2000000000
# This run      : n <= 3000000000
# Generated     : Mon Mar  9 15:54:04 2026
m,p_m,min_n,status
11924,127289,NOT_FOUND,n_leq_3000000000
18241,203227,2873665609,RESOLVED
19234,215317,NOT_FOUND,n_leq_3000000000
20686,233173,2858183263,RESOLVED
22186,251809,NOT_FOUND,n_leq_3000000000
22802,259577,NOT_FOUND,n_leq_3000000000
23995,274453,NOT_FOUND,n_leq_3000000000
33566,396239,NOT_FOUND,n_leq_3000000000
36303,431833,NOT_FOUND,n_leq_3000000000
36726,437083,2412333964,RESOLVED
37249,443837,NOT_FOUND,n_leq_3000000000
37253,443873,NOT_FOUND,n_leq_3000000000
37949,453181,NOT_FOUND,n_leq_3000000000
43297,523007,NOT_FOUND,n_leq_3000000000
48834,596419,NOT_FOUND,n_leq_3000000000
49889,610469,NOT_FOUND,n_leq_3000000000
51816,636277,NOT_FOUND,n_leq_3000000000
53963,665179,NOT_FOUND,n_leq_3000000000
55468,685453,NOT_FOUND,n_leq_3000000000
55874,690953,NOT_FOUND,n_leq_3000000000
61007,760367,NOT_FOUND,n_leq_3000000000
66257,831301,NOT_FOUND,n_leq_3000000000
67203,844253,NOT_FOUND,n_leq_3000000000
67273,845197,2766403488,RESOLVED
67447,847621,NOT_FOUND,n_leq_3000000000
68744,865327,2423390090,RESOLVED
69546,876191,NOT_FOUND,n_leq_3000000000
71049,896723,2298999145,RESOLVED
72568,917759,NOT_FOUND,n_leq_3000000000
76761,975497,NOT_FOUND,n_leq_3000000000
76868,977087,NOT_FOUND,n_leq_3000000000
81986,1047971,NOT_FOUND,n_leq_3000000000
82096,1049519,NOT_FOUND,n_leq_3000000000
82300,1052459,NOT_FOUND,n_leq_3000000000
84521,1083371,2282409344,RESOLVED
86557,1111393,NOT_FOUND,n_leq_3000000000
90005,1159597,NOT_FOUND,n_leq_3000000000
90161,1161757,NOT_FOUND,n_leq_3000000000
92335,1191563,2223036115,RESOLVED
93790,1212347,2179204108,RESOLVED
93890,1213651,2640300431,RESOLVED
94429,1221131,NOT_FOUND,n_leq_3000000000
94768,1225981,2184705450,RESOLVED
97251,1260901,NOT_FOUND,n_leq_3000000000
97351,1262453,NOT_FOUND,n_leq_3000000000
98008,1271383,NOT_FOUND,n_leq_3000000000
98258,1275011,NOT_FOUND,n_leq_3000000000
98379,1276747,NOT_FOUND,n_leq_3000000000
99105,1286953,NOT_FOUND,n_leq_3000000000
