# sun41_v12b: targeted search for A247975 unresolved cases
# Phase-6 bound : n <= 2000000000
# This run      : n <= 4000000000
# Generated     : Mon Mar  9 16:27:35 2026
m,p_m,min_n,status
11924,127289,NOT_FOUND,n_leq_4000000000
19234,215317,NOT_FOUND,n_leq_4000000000
22186,251809,NOT_FOUND,n_leq_4000000000
22802,259577,NOT_FOUND,n_leq_4000000000
23995,274453,NOT_FOUND,n_leq_4000000000
33566,396239,NOT_FOUND,n_leq_4000000000
36303,431833,NOT_FOUND,n_leq_4000000000
37249,443837,NOT_FOUND,n_leq_4000000000
37253,443873,NOT_FOUND,n_leq_4000000000
37949,453181,NOT_FOUND,n_leq_4000000000
43297,523007,NOT_FOUND,n_leq_4000000000
48834,596419,NOT_FOUND,n_leq_4000000000
49889,610469,3941343324,RESOLVED
51816,636277,NOT_FOUND,n_leq_4000000000
53963,665179,NOT_FOUND,n_leq_4000000000
55468,685453,NOT_FOUND,n_leq_4000000000
55874,690953,NOT_FOUND,n_leq_4000000000
61007,760367,3353229683,RESOLVED
66257,831301,NOT_FOUND,n_leq_4000000000
67203,844253,NOT_FOUND,n_leq_4000000000
67447,847621,NOT_FOUND,n_leq_4000000000
69546,876191,NOT_FOUND,n_leq_4000000000
72568,917759,NOT_FOUND,n_leq_4000000000
76761,975497,NOT_FOUND,n_leq_4000000000
76868,977087,NOT_FOUND,n_leq_4000000000
81986,1047971,NOT_FOUND,n_leq_4000000000
82096,1049519,NOT_FOUND,n_leq_4000000000
82300,1052459,NOT_FOUND,n_leq_4000000000
86557,1111393,NOT_FOUND,n_leq_4000000000
90005,1159597,NOT_FOUND,n_leq_4000000000
90161,1161757,3788376009,RESOLVED
94429,1221131,NOT_FOUND,n_leq_4000000000
97251,1260901,NOT_FOUND,n_leq_4000000000
97351,1262453,NOT_FOUND,n_leq_4000000000
98008,1271383,3197827293,RESOLVED
98258,1275011,NOT_FOUND,n_leq_4000000000
98379,1276747,NOT_FOUND,n_leq_4000000000
99105,1286953,NOT_FOUND,n_leq_4000000000
