# sun41_v12f: targeted search for A247975 unresolved cases
# Phase-6 bound : n <= 2000000000
# This run      : n <= 10000000000
# Generated     : Mon Mar  9 19:11:05 2026
m,p_m,min_n,status
22802,259577,NOT_FOUND,n_leq_10000000000
23995,274453,NOT_FOUND,n_leq_10000000000
37249,443837,NOT_FOUND,n_leq_10000000000
37253,443873,NOT_FOUND,n_leq_10000000000
37949,453181,NOT_FOUND,n_leq_10000000000
43297,523007,NOT_FOUND,n_leq_10000000000
48834,596419,NOT_FOUND,n_leq_10000000000
51816,636277,NOT_FOUND,n_leq_10000000000
53963,665179,NOT_FOUND,n_leq_10000000000
55468,685453,NOT_FOUND,n_leq_10000000000
55874,690953,7689816992,RESOLVED
66257,831301,NOT_FOUND,n_leq_10000000000
67203,844253,7747012646,RESOLVED
67447,847621,8688185334,RESOLVED
69546,876191,NOT_FOUND,n_leq_10000000000
76868,977087,NOT_FOUND,n_leq_10000000000
82096,1049519,7393138089,RESOLVED
82300,1052459,NOT_FOUND,n_leq_10000000000
97251,1260901,7850344255,RESOLVED
98258,1275011,8564068296,RESOLVED
98379,1276747,NOT_FOUND,n_leq_10000000000
