# sun41_v12g: targeted search for A247975 unresolved cases
# Phase-6 bound : n <= 2000000000
# This run      : n <= 13000000000
# Generated     : Mon Mar  9 20:04:13 2026
m,p_m,min_n,status
22802,259577,NOT_FOUND,n_leq_13000000000
23995,274453,NOT_FOUND,n_leq_13000000000
37249,443837,NOT_FOUND,n_leq_13000000000
37253,443873,NOT_FOUND,n_leq_13000000000
37949,453181,NOT_FOUND,n_leq_13000000000
43297,523007,NOT_FOUND,n_leq_13000000000
48834,596419,NOT_FOUND,n_leq_13000000000
51816,636277,11824762849,RESOLVED
53963,665179,NOT_FOUND,n_leq_13000000000
55468,685453,12790824118,RESOLVED
66257,831301,NOT_FOUND,n_leq_13000000000
69546,876191,NOT_FOUND,n_leq_13000000000
76868,977087,NOT_FOUND,n_leq_13000000000
82300,1052459,NOT_FOUND,n_leq_13000000000
98379,1276747,NOT_FOUND,n_leq_13000000000
