# sun_ext_v11: extended search for A247975 unresolved cases
# Phase 1 bound  : n <= 2000000000
# This run bound : n <= 50000000000
# Generated      : Thu Mar 19 10:42:27 2026
m, p_m, a_m, p_{a_m}, s=m+a_m, cramér_ratio
11924, 127289, 6119832581, 151142662267, 6119844505, 54679.275566
18241, 203227, 2873665609, 68701158689, 2873683850, 16056.667215
19234, 215317, 5206723528, 127712739697, 5206742762, 27442.438412
20686, 233173, 2858183263, 68314916771, 2858203949, 13904.295142
22186, 251809, 6418823416, 158846687033, 6418845602, 28910.999999
22802, 259577, 44000698448, 1177174198639, 44000721250, 192303.155630
23995, 274453, 47572503750, 1276596209489, 47572527745, 196577.352838
33566, 396239, 4283714631, 104199324451, 4283748197, 12246.171525
36303, 431833, 4006056395, 97164894163, 4006092698, 10509.921847
36726, 437083, 2412333964, 57230326859, 2412370690, 6248.990145
37249, 443837, UNRESOLVED, -1, -1, -1
37253, 443873, 29834694588, 786117161153, 29834731841, 76088.340744
37949, 453181, 23612836020, 616425195857, 23612873969, 59012.291943
43297, 523007, 20932270152, 543819574261, 20932313449, 45285.224489
48834, 596419, 23630637176, 616908416777, 23630686010, 44821.143594
49889, 610469, 3941343324, 95528205013, 3941393213, 7303.151730
51816, 636277, 11824762849, 300167153191, 11824814665, 21022.315696
53963, 665179, UNRESOLVED, -1, -1, -1
55468, 685453, 12790824118, 325737648979, 12790879586, 21110.171419
55874, 690953, 7689816992, 191750554309, 7689872866, 12590.765342
61007, 760367, 3353229683, 80707333381, 3353290690, 4988.288278
66257, 831301, UNRESOLVED, -1, -1, -1
67203, 844253, 7747012646, 193236644017, 7747079849, 10370.928723
67273, 845197, 2766403488, 66026785697, 2766470761, 3699.185409
67447, 847621, 8688185334, 217752203707, 8688252781, 11585.023135
68744, 865327, 2423390090, 57504240109, 2423458834, 3165.014264
69546, 876191, 17485936480, 451005863261, 17486006026, 22550.275731
71049, 896723, 2298999145, 54425781049, 2299070194, 2896.569320
72568, 917759, 4208046357, 102280257463, 4208118925, 5181.038517
76761, 975497, 6814926932, 169075281041, 6815003693, 7892.740450
76868, 977087, UNRESOLVED, -1, -1, -1
81986, 1047971, 5364065784, 131738811713, 5364147770, 5782.645407
82096, 1049519, 7393138089, 184048943843, 7393220185, 7958.432241
82300, 1052459, UNRESOLVED, -1, -1, -1
84521, 1083371, 2282409344, 54015791803, 2282493865, 2380.311402
86557, 1111393, 6670175973, 165334596179, 6670262530, 6778.439084
90005, 1159597, 4615871244, 112639311881, 4615961249, 4495.644741
90161, 1161757, 3788376009, 91663964981, 3788466170, 3682.759593
92335, 1191563, 2223036115, 52549379809, 2223128450, 2105.780884
93790, 1212347, 2179204108, 51467883263, 2179297898, 2029.461849
93890, 1213651, 2640300431, 62888154977, 2640394321, 2456.026815
94429, 1221131, 5683120888, 139917719653, 5683215317, 5253.678952
94768, 1225981, 2184705450, 51603549161, 2184800218, 2011.765551
97251, 1260901, 7850344255, 195922614071, 7850441506, 7028.484888
97351, 1262453, 5389653243, 132394050307, 5389750594, 4820.017730
98008, 1271383, 3197827293, 76808347667, 3197925301, 2839.013536
98258, 1275011, 8564068296, 214512996613, 8564166554, 7582.107358
98379, 1276747, UNRESOLVED, -1, -1, -1
99105, 1286953, 5589474041, 137515154639, 5589573146, 4902.628121
100528, 1307083, 7675012978, 191366007089, 7675113506, 6628.385805
100871, 1311857, 3893067251, 94307911091, 3893168122, 3349.753665
102179, 1330501, 9444795782, 237538125809, 9444897961, 8013.695729
102283, 1331951, 2029876287, 47790310313, 2029978570, 1720.401196
104389, 1361813, 6264229453, 154861625773, 6264333842, 5192.899435
105219, 1373591, 2594185703, 61741943503, 2594290922, 2132.094014
107550, 1406429, 2837673259, 67803334231, 2837780809, 2277.347354
108013, 1412779, 6369975757, 157587051887, 6370083770, 5088.362667
108091, 1413877, 2900339079, 69366839291, 2900447170, 2314.986684
109430, 1433101, 5807064035, 143100102157, 5807173465, 4573.497154
109857, 1438973, 14929726016, 382615207459, 14929835873, 11708.642825
110967, 1454759, 7273776154, 180953871269, 7273887121, 5642.512643
112360, 1474519, 11071138165, 280276166167, 11071250525, 8472.681254
113001, 1483453, 7659405632, 190960585853, 7659518633, 5825.600834
114161, 1500061, 2744916180, 65491493099, 2745030341, 2064.705988
115225, 1514659, 5362892889, 131708767273, 5363008114, 3993.497969
117674, 1550161, 3543958704, 85502899387, 3544076378, 2579.444568
117862, 1552879, UNRESOLVED, -1, -1, -1
118880, 1567271, 5493201674, 135046872031, 5493320554, 3954.173323
119089, 1570447, 3995510688, 96898143581, 3995629777, 2870.610889
