group,m,a_m,cramér_ratio,status,result_line,elapsed_s
E2,102283,2029876287,1720.4,VERIFIED,VERIFIED 102283 2029876287 47790310313 117.31,117.31
E2,92335,2223036115,2105.8,VERIFIED,VERIFIED 92335 2223036115 52549379809 128.64,128.64
E2,36726,2412333964,6249.0,VERIFIED,VERIFIED 36726 2412333964 57230326859 138.99,138.99
E2,114161,2744916180,2064.7,VERIFIED,VERIFIED 114161 2744916180 65491493099 157.99,158.00
E2,20686,2858183263,13904.3,VERIFIED,VERIFIED 20686 2858183263 68314916771 164.44,164.45
E2,61007,3353229683,4988.3,VERIFIED,VERIFIED 61007 3353229683 80707333381 190.57,190.57
E2,100871,3893067251,3349.8,VERIFIED,VERIFIED 100871 3893067251 94307911091 211.17,211.18
E2,36303,4006056395,10509.9,VERIFIED,VERIFIED 36303 4006056395 97164894163 220.64,220.65
E2,19234,5206723528,27442.4,VERIFIED,VERIFIED 19234 5206723528 127712739697 285.39,285.39
E2,97351,5389653243,4820.0,VERIFIED,VERIFIED 97351 5389653243 132394050307 300.95,300.95
E2,109430,5807064035,4573.5,VERIFIED,VERIFIED 109430 5807064035 143100102157 326.81,326.81
E2,108013,6369975757,5088.4,VERIFIED,VERIFIED 108013 6369975757 157587051887 349.21,349.22
E2,76761,6814926932,7892.7,VERIFIED,VERIFIED 76761 6814926932 169075281041 380.23,380.23
E2,100528,7675012978,6628.4,VERIFIED,VERIFIED 100528 7675012978 191366007089 433.27,433.28
E2,97251,7850344255,7028.5,VERIFIED,VERIFIED 97251 7850344255 195922614071 446.56,446.56
E3,112360,11071138165,8472.7,VERIFIED,VERIFIED 112360 11071138165 280276166167 644.73,644.73
E3,51816,11824762849,21022.3,VERIFIED,VERIFIED 51816 11824762849 300167153191 700.44,700.45
E3,55468,12790824118,21110.2,VERIFIED,VERIFIED 55468 12790824118 325737648979 743.48,743.49
E3,109857,14929726016,11708.6,VERIFIED,VERIFIED 109857 14929726016 382615207459 882.76,882.77
E3,69546,17485936480,22550.3,VERIFIED,VERIFIED 69546 17485936480 451005863261 988.69,988.70
E3,43297,20932270152,45285.2,VERIFIED,VERIFIED 43297 20932270152 543819574261 1089.40,1089.41
E3,37949,23612836020,59012.3,VERIFIED,VERIFIED 37949 23612836020 616425195857 1049.36,1049.36
E3,48834,23630637176,44821.1,VERIFIED,VERIFIED 48834 23630637176 616908416777 995.49,995.50
E3,37253,29834694588,76088.3,VERIFIED,VERIFIED 37253 29834694588 786117161153 1109.39,1109.39
