group,m,pm,am,pam,status,first_n,first_p,elapsed_s,note
B1,98920,1284443,100224805,2042896949,VERIFIED,100224805,2042896949,1.71,
B1,50648,620461,100358450,2045757031,VERIFIED,100358450,2045757031,1.71,
B1,99645,1294621,100665604,2052338767,VERIFIED,100665604,2052338767,1.72,
B1,61819,771079,101104431,2061764503,VERIFIED,101104431,2061764503,1.72,
B1,62659,782489,101271366,2065338227,VERIFIED,101271366,2065338227,1.74,
B1,70276,886181,102501486,2091733603,VERIFIED,102501486,2091733603,1.76,
B1,63569,794743,103766937,2118886801,VERIFIED,103766937,2118886801,1.82,
B1,54854,677239,103862252,2120935163,VERIFIED,103862252,2120935163,1.84,
B1,80135,1022141,104213507,2128482311,VERIFIED,104213507,2128482311,1.81,
B1,55330,683693,105208008,2149857881,VERIFIED,105208008,2149857881,1.82,
B1,15723,172633,105781567,2162181491,VERIFIED,105781567,2162181491,1.80,
B1,49187,601189,106905110,2186344519,VERIFIED,106905110,2186344519,1.85,
B1,68977,868451,107414953,2197304303,VERIFIED,107414953,2197304303,1.83,
B1,56592,700633,107439077,2197821937,VERIFIED,107439077,2197821937,1.86,
B1,54458,671971,107911139,2207987629,VERIFIED,107911139,2207987629,1.86,
B1,49369,603569,109600321,2244347923,VERIFIED,109600321,2244347923,1.86,
B1,62546,781087,109870799,2250166069,VERIFIED,109870799,2250166069,1.83,
B1,51602,633487,110374656,2261019349,VERIFIED,110374656,2261019349,1.88,
B1,98056,1272067,110411109,2261800379,VERIFIED,110411109,2261800379,1.92,
B1,24118,275969,110683660,2267664247,VERIFIED,110683660,2267664247,1.91,
B1,33658,397469,110716992,2268381667,VERIFIED,110716992,2268381667,1.89,
B1,88719,1141597,110779499,2269727861,VERIFIED,110779499,2269727861,1.86,
B1,99431,1291453,111419094,2283504521,VERIFIED,111419094,2283504521,1.90,
B1,93198,1203799,111768988,2291040827,VERIFIED,111768988,2291040827,1.94,
B1,77651,988219,112191294,2300136473,VERIFIED,112191294,2300136473,1.94,
B1,35443,420691,112464463,2306031913,VERIFIED,112464463,2306031913,1.93,
B1,16716,184633,112757177,2312339959,VERIFIED,112757177,2312339959,1.95,
B1,80918,1033099,113161644,2321062351,VERIFIED,113161644,2321062351,1.93,
B1,67662,850529,113212804,2322168089,VERIFIED,113212804,2322168089,1.94,
B1,45791,556313,114229155,2344099169,VERIFIED,114229155,2344099169,1.97,
B1,32517,382919,114625573,2352657583,VERIFIED,114625573,2352657583,1.98,
B1,93495,1208219,114838523,2357251679,VERIFIED,114838523,2357251679,2.00,
B1,83364,1067551,115972685,2381738753,VERIFIED,115972685,2381738753,2.00,
B1,76034,965519,116509503,2393323363,VERIFIED,116509503,2393323363,2.00,
B1,89779,1156537,116690575,2397240299,VERIFIED,116690575,2397240299,1.99,
B1,80496,1027139,117744362,2420010227,VERIFIED,117744362,2420010227,2.02,
B1,26360,304457,117856970,2422447171,VERIFIED,117856970,2422447171,2.05,
B1,82857,1060321,118248848,2430907723,VERIFIED,118248848,2430907723,2.07,
B1,33491,395173,118272534,2431421711,VERIFIED,118272534,2431421711,2.06,
B1,77766,989887,119300884,2453652809,VERIFIED,119300884,2453652809,2.08,
B1,65937,826759,119623121,2460619937,VERIFIED,119623121,2460619937,2.08,
B1,64557,808349,119746160,2463286741,VERIFIED,119746160,2463286741,2.10,
B1,95658,1238801,119828831,2465077451,VERIFIED,119828831,2465077451,2.10,
B1,22542,256187,120246788,2474102881,VERIFIED,120246788,2474102881,2.11,
B1,17549,194713,120618357,2482134923,VERIFIED,120618357,2482134923,2.08,
B1,98593,1279801,121017777,2490786257,VERIFIED,121017777,2490786257,2.11,
B1,58678,728639,121907599,2510045441,VERIFIED,121907599,2510045441,2.10,
B1,51256,628841,122438413,2521530197,VERIFIED,122438413,2521530197,2.16,
B1,68726,865103,122566263,2524296847,VERIFIED,122566263,2524296847,2.13,
B1,95294,1233497,123833516,2551726561,VERIFIED,123833516,2551726561,2.16,
B1,91723,1183141,124009383,2555538367,VERIFIED,124009383,2555538367,2.22,
B1,74873,949607,124657496,2569564927,VERIFIED,124657496,2569564927,2.15,
B1,95293,1233493,124969000,2576311697,VERIFIED,124969000,2576311697,2.19,
B1,50192,614527,125136546,2579942017,VERIFIED,125136546,2579942017,2.20,
B1,32677,384913,125193253,2581173071,VERIFIED,125193253,2581173071,2.20,
B1,70554,889963,125220659,2581764071,VERIFIED,125220659,2581764071,2.15,
B1,76318,969559,125591083,2589794887,VERIFIED,125591083,2589794887,2.19,
B1,43735,528823,126189739,2602768667,VERIFIED,126189739,2602768667,2.23,
B1,44356,536999,126265489,2604412117,VERIFIED,126265489,2604412117,2.21,
B1,93096,1202303,126429562,2607974189,VERIFIED,126429562,2607974189,2.20,
B1,47765,582319,126513941,2609806813,VERIFIED,126513941,2609806813,2.24,
B1,18464,205993,127331813,2627538559,VERIFIED,127331813,2627538559,2.20,
B1,81613,1042819,127665232,2634771793,VERIFIED,127665232,2634771793,2.24,
B1,96569,1251529,127833137,2638419247,VERIFIED,127833137,2638419247,2.22,
B1,91068,1174319,127873246,2639294473,VERIFIED,127873246,2639294473,2.20,
B1,16731,184831,129097223,2665857811,VERIFIED,129097223,2665857811,2.21,
B1,11053,117101,129413532,2672723983,VERIFIED,129413532,2672723983,2.22,
B1,87860,1129663,130821398,2703280417,VERIFIED,130821398,2703280417,2.25,
B1,19728,221411,131060717,2708476783,VERIFIED,131060717,2708476783,2.25,
B1,32495,382661,131210051,2711721227,VERIFIED,131210051,2711721227,2.27,
B1,83470,1068917,131407723,2716016819,VERIFIED,131407723,2716016819,2.28,
B1,56883,704477,131911994,2726976089,VERIFIED,131911994,2726976089,2.29,
B1,19546,219223,131992339,2728728941,VERIFIED,131992339,2728728941,2.30,
B1,92560,1194671,132661146,2743262087,VERIFIED,132661146,2743262087,2.32,
B1,71404,901741,132700342,2744118857,VERIFIED,132700342,2744118857,2.30,
B1,69454,875113,133178091,2754509281,VERIFIED,133178091,2754509281,2.28,
B1,86715,1113491,134544223,2784205271,VERIFIED,134544223,2784205271,2.32,
B1,47903,584183,135185562,2798154479,VERIFIED,135185562,2798154479,2.36,
B1,98931,1284601,136728274,2831712617,VERIFIED,136728274,2831712617,2.38,
B1,54628,674227,136950246,2836547783,VERIFIED,136950246,2836547783,2.39,
B1,83838,1074083,137669387,2852204219,VERIFIED,137669387,2852204219,2.40,
B1,28782,334783,137976215,2858877649,VERIFIED,137976215,2858877649,2.40,
B1,33770,398863,139398080,2889845341,VERIFIED,139398080,2889845341,2.41,
B1,10955,115883,140562855,2915229221,VERIFIED,140562855,2915229221,2.45,
B1,99499,1292539,141026335,2925327719,VERIFIED,141026335,2925327719,2.46,
B1,81175,1036619,141238635,2929952867,VERIFIED,141238635,2929952867,2.44,
B1,13550,146513,143235371,2973502529,VERIFIED,143235371,2973502529,2.50,
B1,75906,963811,143572784,2980859983,VERIFIED,143572784,2980859983,2.51,
B1,44685,541531,143812093,2986082227,VERIFIED,143812093,2986082227,2.47,
B1,96574,1251583,144649831,3004373819,VERIFIED,144649831,3004373819,2.53,
B1,76327,969679,145195498,3016282153,VERIFIED,145195498,3016282153,2.58,
B1,17624,195593,146237433,3039036001,VERIFIED,146237433,3039036001,2.58,
B1,81651,1043377,146504630,3044863097,VERIFIED,146504630,3044863097,2.56,
B1,67003,841559,146537362,3045578957,VERIFIED,146537362,3045578957,2.57,
B1,79424,1012433,146735861,3049914781,VERIFIED,146735861,3049914781,2.59,
B1,98879,1283797,149586971,3112213679,VERIFIED,149586971,3112213679,2.63,
B1,56051,693323,149813738,3117171457,VERIFIED,149813738,3117171457,2.62,
B1,72123,911359,149982767,3120862307,VERIFIED,149982767,3120862307,2.65,
